Ano,Mês,Dia,Ativo,Cotação,Variação
2018,01,10,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,11,Guaxupé/MG (Cooxupé),"435,00","-1,14"
2018,01,11,Poços de Caldas/MG (CaféPoços),"433,00","-0,69"
2018,01,11,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,11,Araguarí/MG (Coocacer),"455,00","-1,09"
2018,01,11,Varginha/MG (Minasul),"450,00","0,00"
2018,01,11,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,11,Esp. Sto. do Pinhal/SP (Coopinhal),"450,00","0,00"
2018,01,11,Franca/SP (Cocapec),"460,00","0,00"
2018,01,11,Maringá/PR (Cocamar),"435,00","+1,16"
2018,01,11,Vitória/ES (BCSP),"435,00","0,00"
2018,01,11,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,11,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,12,Guaxupé/MG (Cooxupé),"430,00","-1,15"
2018,01,12,Poços de Caldas/MG (CaféPoços),"432,00","-0,23"
2018,01,12,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,12,Araguarí/MG (Coocacer),"460,00","+1,10"
2018,01,12,Varginha/MG (Minasul),"450,00","0,00"
2018,01,12,Lajinha/MG (Coocafé),"450,00","0,00"
2018,01,12,Esp. Sto. do Pinhal/SP (Coopinhal),"445,00","-1,11"
2018,01,12,Franca/SP (Cocapec),"460,00","0,00"
2018,01,12,Maringá/PR (Cocamar),"435,00","0,00"
2018,01,12,Vitória/ES (BCSP),"435,00","0,00"
2018,01,12,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,12,Média Rio Grande do Sul (Clicmercado),"445,00","-1,11"
2018,01,15,Guaxupé/MG (Cooxupé),"430,00","0,00"
2018,01,15,Poços de Caldas/MG (CaféPoços),"432,00","0,00"
2018,01,15,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,15,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,15,Varginha/MG (Minasul),"450,00","0,00"
2018,01,15,Lajinha/MG (Coocafé),"435,00","-3,33"
2018,01,15,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","-1,12"
2018,01,15,Franca/SP (Cocapec),"460,00","0,00"
2018,01,15,Maringá/PR (Cocamar),"430,00","-1,15"
2018,01,15,Vitória/ES (BCSP),"435,00","0,00"
2018,01,15,Oeste da Bahia (AIBA),"430,00","-2,27"
2018,01,15,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,01,16,Guaxupé/MG (Cooxupé),"430,00","0,00"
2018,01,16,Poços de Caldas/MG (CaféPoços),"431,00","-0,23"
2018,01,16,Patrocínio/MG (Expocaccer),"445,00","-1,11"
2018,01,16,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,16,Varginha/MG (Minasul),"450,00","0,00"
2018,01,16,Lajinha/MG (Coocafé),"440,00","+1,15"
2018,01,16,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,16,Franca/SP (Cocapec),"450,00","-2,17"
2018,01,16,Maringá/PR (Cocamar),"430,00","0,00"
2018,01,16,Vitória/ES (BCSP),"435,00","0,00"
2018,01,16,Oeste da Bahia (AIBA),"437,50","+1,74"
2018,01,16,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,01,17,Guaxupé/MG (Cooxupé),"440,00","+2,33"
2018,01,17,Poços de Caldas/MG (CaféPoços),"431,00","0,00"
2018,01,17,Patrocínio/MG (Expocaccer),"445,00","0,00"
2018,01,17,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,17,Varginha/MG (Minasul),"450,00","0,00"
2018,01,17,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,17,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,17,Franca/SP (Cocapec),"460,00","+2,22"
2018,01,17,Maringá/PR (Cocamar),"430,00","0,00"
2018,01,17,Vitória/ES (BCSP),"435,00","0,00"
2018,01,17,Oeste da Bahia (AIBA),"435,00","-0,57"
2018,01,17,Média Rio Grande do Sul (Clicmercado),"440,00","-1,12"
2018,01,18,Guaxupé/MG (Cooxupé),"435,00","-1,14"
2018,01,18,Poços de Caldas/MG (CaféPoços),"433,00","+0,46"
2018,01,18,Patrocínio/MG (Expocaccer),"440,00","-1,12"
2018,01,18,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,18,Varginha/MG (Minasul),"450,00","0,00"
2018,01,18,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,18,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,18,Franca/SP (Cocapec),"450,00","-2,17"
2018,01,18,Maringá/PR (Cocamar),"433,00","+0,70"
2018,01,18,Vitória/ES (BCSP),"435,00","0,00"
2018,01,18,Oeste da Bahia (AIBA),"435,00","0,00"
2018,01,18,Média Rio Grande do Sul (Clicmercado),"450,00","+2,27"
2018,01,19,Guaxupé/MG (Cooxupé),"435,00","0,00"
2018,01,19,Poços de Caldas/MG (CaféPoços),"433,00","0,00"
2018,01,19,Patrocínio/MG (Expocaccer),"440,00","0,00"
2018,01,19,Araguarí/MG (Coocacer),"455,00","-1,09"
2018,01,19,Varginha/MG (Minasul),"450,00","0,00"
2018,01,19,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,19,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,19,Franca/SP (Cocapec),"450,00","0,00"
2018,01,19,Maringá/PR (Cocamar),"433,00","0,00"
2018,01,19,Vitória/ES (BCSP),"435,00","0,00"
2018,01,19,Oeste da Bahia (AIBA),"435,00","0,00"
2018,01,19,Média Rio Grande do Sul (Clicmercado),"445,00","-1,11"
2018,01,22,Guaxupé/MG (Cooxupé),"440,00","+1,15"
2018,01,22,Poços de Caldas/MG (CaféPoços),"437,00","+0,92"
2018,01,22,Patrocínio/MG (Expocaccer),"450,00","+2,27"
2018,01,22,Araguarí/MG (Coocacer),"460,00","+1,10"
2018,01,22,Varginha/MG (Minasul),"450,00","0,00"
2018,01,22,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,22,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,22,Franca/SP (Cocapec),"450,00","0,00"
2018,01,22,Maringá/PR (Cocamar),"433,00","0,00"
2018,01,22,Vitória/ES (BCSP),"435,00","0,00"
2018,01,22,Oeste da Bahia (AIBA),"435,00","0,00"
2018,01,22,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,01,23,Guaxupé/MG (Cooxupé),"435,00","-1,14"
2018,01,23,Poços de Caldas/MG (CaféPoços),"437,00","0,00"
2018,01,23,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,23,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,23,Varginha/MG (Minasul),"450,00","0,00"
2018,01,23,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,23,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,23,Franca/SP (Cocapec),"450,00","0,00"
2018,01,23,Maringá/PR (Cocamar),"437,00","+0,92"
2018,01,23,Vitória/ES (BCSP),"435,00","0,00"
2018,01,23,Oeste da Bahia (AIBA),"437,50","+0,57"
2018,01,23,Média Rio Grande do Sul (Clicmercado),"450,00","+1,12"
2018,01,24,Guaxupé/MG (Cooxupé),"440,00","+1,15"
2018,01,24,Poços de Caldas/MG (CaféPoços),"434,00","-0,69"
2018,01,24,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,24,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,24,Varginha/MG (Minasul),"445,00","-1,11"
2018,01,24,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,24,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,24,Franca/SP (Cocapec),"450,00","0,00"
2018,01,24,Maringá/PR (Cocamar),"437,00","0,00"
2018,01,24,Vitória/ES (BCSP),"435,00","0,00"
2018,01,24,Oeste da Bahia (AIBA),"435,00","-0,57"
2018,01,24,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,25,Guaxupé/MG (Cooxupé),"430,00","-2,27"
2018,01,25,Poços de Caldas/MG (CaféPoços),"437,00","+0,69"
2018,01,25,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,25,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,25,Varginha/MG (Minasul),"445,00","0,00"
2018,01,25,Lajinha/MG (Coocafé),"435,00","-1,14"
2018,01,25,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,25,Franca/SP (Cocapec),"450,00","0,00"
2018,01,25,Maringá/PR (Cocamar),"437,00","0,00"
2018,01,25,Vitória/ES (BCSP),"435,00","0,00"
2018,01,25,Oeste da Bahia (AIBA),"440,00","+1,15"
2018,01,25,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,26,Guaxupé/MG (Cooxupé),"435,00","+1,16"
2018,01,26,Poços de Caldas/MG (CaféPoços),"439,00","+0,46"
2018,01,26,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,26,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,26,Varginha/MG (Minasul),"445,00","0,00"
2018,01,26,Lajinha/MG (Coocafé),"435,00","0,00"
2018,01,26,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,26,Franca/SP (Cocapec),"450,00","0,00"
2018,01,26,Maringá/PR (Cocamar),"425,00","-2,75"
2018,01,26,Vitória/ES (BCSP),"435,00","0,00"
2018,01,26,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,26,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,29,Guaxupé/MG (Cooxupé),"440,00","+1,15"
2018,01,29,Poços de Caldas/MG (CaféPoços),"443,00","+0,91"
2018,01,29,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,01,29,Araguarí/MG (Coocacer),"460,00","0,00"
2018,01,29,Varginha/MG (Minasul),"435,00","-2,25"
2018,01,29,Lajinha/MG (Coocafé),"445,00","+2,30"
2018,01,29,Esp. Sto. do Pinhal/SP (Coopinhal),"450,00","+2,27"
2018,01,29,Franca/SP (Cocapec),"450,00","0,00"
2018,01,29,Maringá/PR (Cocamar),"425,00","0,00"
2018,01,29,Vitória/ES (BCSP),"435,00","0,00"
2018,01,29,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,29,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,30,Guaxupé/MG (Cooxupé),"430,00","-2,27"
2018,01,30,Poços de Caldas/MG (CaféPoços),"440,00","-0,68"
2018,01,30,Patrocínio/MG (Expocaccer),"445,00","-1,11"
2018,01,30,Araguarí/MG (Coocacer),"450,00","-2,17"
2018,01,30,Varginha/MG (Minasul),"435,00","0,00"
2018,01,30,Lajinha/MG (Coocafé),"440,00","-1,12"
2018,01,30,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","-2,22"
2018,01,30,Franca/SP (Cocapec),"450,00","0,00"
2018,01,30,Maringá/PR (Cocamar),"431,00","+1,41"
2018,01,30,Vitória/ES (BCSP),"435,00","0,00"
2018,01,30,Oeste da Bahia (AIBA),"440,00","0,00"
2018,01,30,Média Rio Grande do Sul (Clicmercado),"450,00","0,00"
2018,01,31,Guaxupé/MG (Cooxupé),"430,00","0,00"
2018,01,31,Poços de Caldas/MG (CaféPoços),"440,00","0,00"
2018,01,31,Patrocínio/MG (Expocaccer),"445,00","0,00"
2018,01,31,Araguarí/MG (Coocacer),"450,00","0,00"
2018,01,31,Varginha/MG (Minasul),"435,00","0,00"
2018,01,31,Lajinha/MG (Coocafé),"440,00","0,00"
2018,01,31,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,01,31,Franca/SP (Cocapec),"450,00","0,00"
2018,01,31,Maringá/PR (Cocamar),"431,00","0,00"
2018,01,31,Vitória/ES (BCSP),"435,00","0,00"
2018,01,31,Oeste da Bahia (AIBA),"430,00","-2,27"
2018,01,31,Média Rio Grande do Sul (Clicmercado),"445,00","-1,11"
2018,02,01,Guaxupé/MG (Cooxupé),"430,00","0,00"
2018,02,01,Poços de Caldas/MG (CaféPoços),"437,00","-0,68"
2018,02,01,Patrocínio/MG (Expocaccer),"445,00","0,00"
2018,02,01,Araguarí/MG (Coocacer),"450,00","0,00"
2018,02,01,Varginha/MG (Minasul),"435,00","0,00"
2018,02,01,Lajinha/MG (Coocafé),"440,00","0,00"
2018,02,01,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,02,01,Franca/SP (Cocapec),"450,00","0,00"
2018,02,01,Maringá/PR (Cocamar),"427,00","-0,93"
2018,02,01,Vitória/ES (BCSP),"435,00","0,00"
2018,02,01,Oeste da Bahia (AIBA),"435,00","+1,16"
2018,02,01,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,02,02,Guaxupé/MG (Cooxupé),"435,00","+1,16"
2018,02,02,Poços de Caldas/MG (CaféPoços),"442,00","+1,14"
2018,02,02,Patrocínio/MG (Expocaccer),"445,00","0,00"
2018,02,02,Araguarí/MG (Coocacer),"450,00","0,00"
2018,02,02,Varginha/MG (Minasul),"435,00","0,00"
2018,02,02,Lajinha/MG (Coocafé),"440,00","0,00"
2018,02,02,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","0,00"
2018,02,02,Franca/SP (Cocapec),"445,00","-1,11"
2018,02,02,Maringá/PR (Cocamar),"424,00","-0,70"
2018,02,02,Vitória/ES (BCSP),"435,00","0,00"
2018,02,02,Oeste da Bahia (AIBA),"435,00","0,00"
2018,02,02,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,02,05,Guaxupé/MG (Cooxupé),"435,00","0,00"
2018,02,05,Poços de Caldas/MG (CaféPoços),"442,00","0,00"
2018,02,05,Patrocínio/MG (Expocaccer),"445,00","0,00"
2018,02,05,Araguarí/MG (Coocacer),"450,00","0,00"
2018,02,05,Varginha/MG (Minasul),"435,00","0,00"
2018,02,05,Lajinha/MG (Coocafé),"435,00","-1,14"
2018,02,05,Esp. Sto. do Pinhal/SP (Coopinhal),"430,00","-2,27"
2018,02,05,Franca/SP (Cocapec),"445,00","0,00"
2018,02,05,Maringá/PR (Cocamar),"428,00","+0,94"
2018,02,05,Vitória/ES (BCSP),"435,00","0,00"
2018,02,05,Oeste da Bahia (AIBA),"432,50","-0,57"
2018,02,05,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,02,06,Guaxupé/MG (Cooxupé),"440,00","+1,15"
2018,02,06,Poços de Caldas/MG (CaféPoços),"447,00","+1,13"
2018,02,06,Patrocínio/MG (Expocaccer),"450,00","+1,12"
2018,02,06,Araguarí/MG (Coocacer),"460,00","+2,22"
2018,02,06,Varginha/MG (Minasul),"435,00","0,00"
2018,02,06,Lajinha/MG (Coocafé),"435,00","0,00"
2018,02,06,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","+2,33"
2018,02,06,Franca/SP (Cocapec),"455,00","+2,25"
2018,02,06,Maringá/PR (Cocamar),"428,00","0,00"
2018,02,06,Vitória/ES (BCSP),"435,00","0,00"
2018,02,06,Oeste da Bahia (AIBA),"432,50","0,00"
2018,02,06,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,02,07,Guaxupé/MG (Cooxupé),"448,00","+1,82"
2018,02,07,Poços de Caldas/MG (CaféPoços),"451,00","+0,89"
2018,02,07,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,02,07,Araguarí/MG (Coocacer),"455,00","-1,09"
2018,02,07,Varginha/MG (Minasul),"440,00","+1,15"
2018,02,07,Lajinha/MG (Coocafé),"445,00","+2,30"
2018,02,07,Esp. Sto. do Pinhal/SP (Coopinhal),"435,00","-1,14"
2018,02,07,Franca/SP (Cocapec),"450,00","-1,10"
2018,02,07,Maringá/PR (Cocamar),"428,00","0,00"
2018,02,07,Vitória/ES (BCSP),"435,00","0,00"
2018,02,07,Oeste da Bahia (AIBA),"442,50","+2,31"
2018,02,07,Média Rio Grande do Sul (Clicmercado),"450,00","+1,12"
2018,02,08,Guaxupé/MG (Cooxupé),"448,00","0,00"
